/* DATA DESCRIPTION:
Citation:	Park, Jinheum; Park, Jungjae; Yi, Sangheon; Lim, Jaesoo; Kim, Jin Cheul; Jin, Qiuhong; Choi, Jieun (2020): Percentage of pollen and spores in core STP18-03 (Miryang region, Korean peninsula). PANGAEA, https://doi.org/10.1594/PANGAEA.922334, 
Depth [m]	Cal age [ka BP]	Pinus [%] (Pollen)	Abies [%] (Pollen)	Tsuga [%] (Pollen)	Cupressaceae [%] (Pollen)	Platycarya [%] (Pollen)	Ephedra [%] (Pollen)	Car [%] (Pollen)	Euonymus [%] (Pollen)	Ace [%] (Pollen)	Quercus [%] (deciduous, pollen)	Quercus [%] (evergreen, pollen)	Quercus [%] (all, pollen)	Fraxinus/Oleaceae [%] (Pollen)	Juglans/Pterocarya [%] (Pollen)	Tilia [%] (Pollen)	Castanea [%] (Pollen)	Ulmus/Zelkova [%] (Pollen)	Ilex [%] (Pollen)	Celtis/Aphananthe [%] (Pollen)	Sapium [%] (Pollen)	Vts [%] (Pollen)	Camellia [%] (Pollen)	Fagus [%] (Pollen)	Betula [%] (Pollen)	Salix [%] (Pollen)	Corylus [%] (Pollen)	Alnus [%] (Pollen)	Mor [%] (Pollen)	Lonicera [%] (Pollen)	Cya [%] (Pollen)	Elaeagnus [%] (Pollen)	Buxus [%] (Pollen)	Araliaceae [%] (Pollen)	Vib [%] (Pollen)	Rutaceae [%] (Pollen)	Rosae [%] (Pollen)	Rhus [%] (Pollen)	Artemisia [%] (Pollen)	Asterac [%] (subf Aster., Pollen)	Asterac [%] (subf Cich., Pollen)	Saxae [%] (Pollen)	Flp [%] (Pollen)	Euphorbia [%] (Pollen)	Ger [%] (Pollen)	Cphae [%] (Pollen)	Lamiaceae [%] (Pollen)	Liliaceae/Hemerocallis [%] (Pollen)	Galium/Rubiaceae [%] (Pollen)	Polygonum [%] (Pollen)	Tha [%] (Pollen)	Campanula [%] (Pollen)	Apiaceae [%] (Pollen)	Plantago [%] (Pollen)	Rumex [%] (Pollen)	Brassicac [%] (Pollen)	Poac [%] (Pollen (<37µm))	Poac [%] (Pollen (>37µm))	Humulus-T [%] (Pollen)	Amaranthaceae [%] (Pollen)	San [%] (Pollen)	Persicaria [%] (Pollen)	Ranae [%] (Pollen)	Gentianella [%] (Pollen)	Urt [%] (Pollen)	Val [%] (Pollen)	Oxalis [%] (Pollen)	Cyperac [%] (Pollen)	Typha/Sparganium [%] (Pollen)	Impatiens [%] (Pollen)	Potamogeton [%] (Pollen)	Nymphea [%] (Pollen)	Nup [%] (Pollen)	Nymphoides [%] (Pollen)	Ptd [%] (Trilete, spores)	Osm [%] (Trilete, spores)	Bot [%] (Trilete, spores)	Hup [%] (Trilete, spores)	Thelypteris [%] (Monolete, spores)	Dryopteris [%] (Monolete, spores)	Onocleaceae [%] (Monolete, spores)	Pyrrosia [%] (Monolete, spores)	Ppd [%] (Monolete, spores)	Poles [%] (Monolete, spores)	Pollen trees+shrubs [%]	Pollen herbs [%]	Pollen aquat [%] (plants)	Fern spores [%]	Pollen indet [%]
3.80	2.677	0.361			2.888	0.722		1.083			3.971	0.361	4.332	0.361				1.083								0.361		0.361											1.805									1.083									7.220	0.722				0.361	0.722					10.108	0.361						0.361							0.361	2.527	73.285	11.552	11.913	10.469	76.534	2.17
3.95	3.025	0.699			1.748	2.448		2.098			9.091		9.091	1.049		0.350			0.699							1.399		4.545						0.350			0.350		21.329																		24.825	1.748										5.594							0.350							1.049		25.874	24.825	47.902	5.594	27.273	4.90
4.01	3.151	36.482				0.977		2.280		0.326	45.277	1.303	46.580	0.651												0.651		1.954											1.629																		6.189											0.651							0.977	0.326							0.326	0.651	89.902	7.818	0.651	2.280	2.28
4.02	3.172	14.286				0.325		2.922			68.182	0.974	69.156	0.325			0.649	0.325								1.299		1.623	0.325					0.325	0.325				1.623														0.325				5.195			0.325								0.649							0.649										91.883	7.468	0.649	0.649	0.65
4.05	3.235	15.738				1.967		4.262			55.410	1.311	56.721	1.311	0.656		0.328	1.639								0.984		1.967							0.328			0.328	2.295		0.328												0.328				9.180											1.967							0.328	0.328								0.984	86.230	12.131	1.967	1.639	2.30
4.07	3.276	15.064				0.641		3.205			59.615	0.641	60.256	0.321			0.321	0.641								1.923		3.846											2.564																	0.321	8.974						0.321					1.603	0.321						0.641									0.962	86.218	12.179	1.923	1.603	1.60
4.10	3.339	21.865				0.322		5.145			51.125		51.125	0.643			1.929								0.643	0.322		4.502	1.286										0.965	0.322																	7.395	0.965				0.322						0.965							0.965									1.286	87.781	9.968	0.965	2.251	1.93
4.12	3.386	19.608				0.980		3.268			58.824	1.307	60.131	1.307	0.327			1.307								0.327		3.268											1.307		0.327			0.327													6.536											1.634	0.327						0.327	0.327								0.327	90.523	8.497	1.961	0.980	2.94
4.15	3.455	14.423	0.321		0.321	1.282		4.808			52.885	0.962	53.846	2.244	0.321		0.321	0.962								0.962		3.526								0.321		0.321	3.526	0.321	0.321																8.333			0.321								1.603							1.603								0.321	1.282	83.974	12.821	1.603	3.205	2.56
4.17	3.502	19.805						3.247		0.325	56.494	0.974	57.468		0.325	0.325	0.649	0.649					0.325			0.974	0.325	3.571											4.221										0.325	0.325	0.325						5.195	0.325										2.922							0.325									0.974	87.987	10.714	2.922	1.299	4.22
4.20	3.571	20.323				1.935		3.871			47.742	1.613	49.355	0.323	0.645			0.323	0.323	0.323		0.323			0.323	3.548	0.323	3.548											1.613			1.290															6.129	0.323									0.323	2.581	0.323			0.323			2.258			0.323	0.323				0.323	1.613	85.484	9.677	3.226	4.839	3.55
4.22	3.618	18.567						1.954			60.912		60.912	0.651		0.651	0.651	0.651	0.326				0.326					4.886									0.651		1.303	0.326																	6.840			0.326								0.326	0.651						0.326									0.651	90.228	8.795	0.977	0.977	2.28
4.23	3.641	18.447			0.971	0.647		2.265			48.220	0.324	48.544	0.324	0.324		2.589	1.618								1.294		4.531	0.971						0.324		0.324		2.589														0.324				11.003											0.971							1.618	0.324								0.971	83.172	13.916	0.971	2.913	2.59
4.25	3.687	18.272				2.658		6.312			44.850	1.993	46.844	1.329	0.664	0.332		0.997								0.664		3.322	0.664							0.332			4.319			0.332															10.631											2.990	1.329						1.329									0.997	82.392	15.282	4.319	2.326	3.32
4.27	3.734	15.705				3.205		2.564		0.321	50.321	1.603	51.923	0.962				0.641		0.321			0.321			1.282		3.846							0.321				1.603			0.321											0.321				13.141			0.321								0.641			0.321				1.923	0.321								0.641	81.410	15.705	0.962	2.885	2.88
4.28	3.757	17.143			0.635	1.270		4.444		0.317	48.571	2.222	50.794	0.952	1.270	0.317	0.635	1.270		0.317						1.270		1.905	0.317				0.317			0.317			1.905													0.317					9.841			0.317								1.905							2.540								0.317	1.270	83.492	12.381	1.905	4.127	1.90
4.30	3.803	14.618			0.332	3.654		4.651			47.176	2.326	49.502	0.997	0.664		0.332	0.332	0.332						0.332	1.661		3.987	0.332							0.664	0.664		2.990			0.332	0.332														8.306	0.332							0.332			3.987	0.664						2.326								0.332	1.661	83.056	12.625	4.651	4.319	1.33
4.32	3.843	20.645				1.290	0.323	2.581			55.484	1.613	57.097	1.290			0.323	1.290								1.613		0.968									0.323		2.903																		6.129	0.323										0.323			0.323	0.323			1.613	0.323								0.968	87.742	9.355	0.968	2.903	1.94
4.33	3.863	16.242				1.592		1.911			56.051	0.637	56.688	0.318		0.318	0.955	0.318		0.318					0.318	0.955		3.185	0.955										2.548																		10.828	0.318		0.318	0.318							2.866							0.955									0.637	84.076	14.331	2.866	1.592	3.18
4.35	3.902	18.065				2.258		4.839			46.774	0.645	47.419	0.645			0.968				0.323					0.968		4.516						0.968					3.548																		11.613	0.323		0.645								1.290							2.258	0.323								0.323	80.968	16.129	1.290	2.903	2.90
4.37	3.942	17.702				1.553		2.795		0.311	51.242	0.932	52.174				0.932	0.621								0.932	0.311	4.969						0.311					2.795																		9.317											0.932							4.658									0.621	82.609	12.112	0.932	5.280	5.59
4.38	3.962	14.423				2.885		2.885			49.679	0.641	50.321	1.282	0.321		1.923	0.962		0.962						1.603		2.885	0.962										1.603			0.641	0.321						0.321								11.859			0.641								1.603							2.885									0.321	81.410	15.385	1.603	3.205	4.81
4.40	4.001	11.859			0.321	1.603		3.205			52.564	1.923	54.487	1.282			0.641	0.321							0.321	0.641	0.321	3.526	0.962										3.205		0.321												0.321				12.821	0.321		0.321								2.885							3.205										79.487	17.308	2.885	3.205	2.24
